filename,width,height,class,xmin,ymin,xmax,ymax
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2944,923,3031,1050
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2947,923,2991,1029
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,3050,932,3083,1011
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,3021,932,3054,1023
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,3291,950,3316,993
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,3357,959,3374,996
Screenshot from R0010037_st.MP4 - 3.jpg,3840,1920,researcher,3421,931,3450,999
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,53,934,98,1035
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,135,931,175,1020
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,180,938,198,987
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,210,954,249,983
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,240,917,315,1073
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,416,922,474,1049
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,512,917,610,1115
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,616,930,736,1109
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,717,930,837,1134
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,953,933,1022,1052
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1022,909,1097,1097
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1115,937,1180,1087
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1085,929,1143,1065
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1255,942,1321,1062
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1670,954,1748,1084
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1740,959,1770,1044
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1803,953,1845,1047
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1864,960,1899,1052
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1942,964,1988,1045
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1909,970,1936,1045
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,researcher,2016,889,2226,1132
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2025,956,2080,1056
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,2540,985,2621,1012
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2693,927,2751,995
Screenshot from R0010036_st.MP4 - 1.jpg,3840,1920,researcher,1997,757,3458,1697
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,researcher,1,693,491,1532
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,928,849,1045,1079
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_toboggan_penguin,1059,951,1194,1021
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_toboggan_penguin,1034,929,1061,954
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,1279,876,1343,1008
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,1348,867,1415,999
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,1724,863,1781,1023
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,1749,863,1844,1056
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,1809,860,1948,1114
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,1888,748,2080,1227
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,2057,876,2129,1046
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,adult_standing_penguin,2158,865,2276,1129
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,researcher,3260,874,3422,1117
Screenshot from R0010028_st.MP4 - 15.jpg,3840,1920,researcher,3058,679,3840,1490
Screenshot from R0010030_st.MP4.jpg,3840,1920,researcher,48,715,214,1044
Screenshot from R0010030_st.MP4.jpg,3840,1920,researcher,11,246,1193,1920
Screenshot from R0010030_st.MP4.jpg,3840,1920,adult_toboggan_penguin,1498,1014,1535,1041
Screenshot from R0010030_st.MP4.jpg,3840,1920,adult_standing_penguin,1657,1013,1687,1056
Screenshot from R0010030_st.MP4.jpg,3840,1920,adult_toboggan_penguin,1719,1021,1747,1034
Screenshot from R0010030_st.MP4.jpg,3840,1920,adult_toboggan_penguin,1752,1025,1788,1041
Screenshot from R0010030_st.MP4.jpg,3840,1920,adult_toboggan_penguin,1781,1029,1814,1044
Screenshot from R0010030_st.MP4.jpg,3840,1920,adult_standing_penguin,2315,1010,2333,1049
Screenshot from R0010030_st.MP4.jpg,3840,1920,adult_toboggan_penguin,2198,1021,2221,1037
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,researcher,2,696,826,1788
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1336,887,1400,1016
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1405,886,1492,1060
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1497,865,1566,1040
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1570,874,1674,1108
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1562,872,1608,1020
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1666,875,1775,1109
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1661,868,1714,1016
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1869,866,2050,1205
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2002,876,2097,1094
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2071,874,2163,1130
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2154,910,2252,1092
Screenshot from R0010028_st.MP4 - 1.jpg,3840,1920,researcher,3331,974,3366,1036
Screenshot from R0010048_st.MP4 - 7.jpg,3840,1920,researcher,2617,204,3822,1851
Screenshot from R0010048_st.MP4 - 7.jpg,3840,1920,adult_toboggan_penguin,599,990,632,1003
Screenshot from R0010048_st.MP4 - 7.jpg,3840,1920,adult_toboggan_penguin,657,989,706,1003
Screenshot from R0010048_st.MP4 - 7.jpg,3840,1920,adult_standing_penguin,899,961,919,990
Screenshot from R0010048_st.MP4 - 7.jpg,3840,1920,adult_toboggan_penguin,1245,990,1277,1013
Screenshot from R0010048_st.MP4 - 7.jpg,3840,1920,adult_standing_penguin,477,971,498,1014
Screenshot from R0010048_st.MP4 - 7.jpg,3840,1920,adult_toboggan_penguin,1011,978,1031,989
Screenshot from R0010048_st.MP4 - 7.jpg,3840,1920,adult_standing_penguin,1082,964,1096,995
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,researcher,188,415,875,1533
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1946,957,1964,1003
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1957,954,1981,1007
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,1981,958,1999,995
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2034,955,2113,1117
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2264,1011,2340,1059
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2339,962,2395,1062
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2377,973,2413,1038
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_standing_penguin,2419,974,2446,1019
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2445,1000,2551,1079
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2488,1017,2618,1086
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2578,1010,2665,1065
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2560,1041,2733,1132
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2670,1010,2757,1063
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2706,1028,2822,1096
Screenshot from R0010030_st.MP4 - 3.jpg,3840,1920,adult_toboggan_penguin,2919,1028,3063,1101
Screenshot from R0010019_st.MP4 - 12.jpg,3840,1920,adult_standing_penguin,1,1022,31,1150
Screenshot from R0010019_st.MP4 - 12.jpg,3840,1920,adult_toboggan_penguin,362,984,396,1003
Screenshot from R0010019_st.MP4 - 12.jpg,3840,1920,adult_toboggan_penguin,3546,984,3589,1001
Screenshot from R0010019_st.MP4 - 12.jpg,3840,1920,adult_standing_penguin,3702,1006,3754,1083
Screenshot from R0010019_st.MP4 - 12.jpg,3840,1920,adult_standing_penguin,3805,1019,3840,1144
Screenshot from R0010019_st.MP4 - 12.jpg,3840,1920,adult_standing_penguin,3736,1009,3777,1108
Screenshot from R0010019_st.MP4 - 12.jpg,3840,1920,adult_standing_penguin,3770,1012,3816,1105
R0010003_st_Moment(21).jpg,3840,1920,researcher,483,955,522,1003
R0010003_st_Moment(21).jpg,3840,1920,researcher,549,914,580,998
R0010003_st_Moment(21).jpg,3840,1920,researcher,578,916,613,999
R0010003_st_Moment(21).jpg,3840,1920,adult_toboggan_penguin,1707,1001,1773,1037
R0010003_st_Moment(21).jpg,3840,1920,adult_standing_penguin,1838,976,1887,1052
R0010003_st_Moment(21).jpg,3840,1920,adult_standing_penguin,1949,979,2008,1087
R0010003_st_Moment(21).jpg,3840,1920,adult_standing_penguin,2045,984,2108,1084
R0010003_st_Moment(21).jpg,3840,1920,adult_standing_penguin,2155,997,2259,1120
R0010003_st_Moment(21).jpg,3840,1920,adult_standing_penguin,2430,979,2492,1088
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,496,1012,586,1216
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,551,1007,641,1164
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,674,1014,776,1196
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,748,987,796,1118
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,juvenile_penguin,860,1023,898,1103
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,researcher,1513,839,2091,1500
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,1294,982,1336,1000
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,researcher,3341,837,3840,1568
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,2570,975,2608,989
Screenshot from R0010017_st.MP4 - 1.jpg,3840,1920,researcher,1617,786,2980,1828
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,researcher,154,336,1798,1920
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1087,875,1175,1039
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1210,880,1287,1039
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1275,870,1352,1038
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1357,878,1401,1029
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1365,871,1443,1045
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1435,879,1504,1027
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1537,890,1589,1013
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1568,876,1637,1032
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1654,899,1717,1014
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1729,911,1772,998
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1795,885,1868,1045
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1875,914,1967,1043
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,1978,889,2057,1040
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_toboggan_penguin,2160,957,2188,973
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,2180,913,2252,1040
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,2236,885,2302,1064
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,2345,910,2435,1044
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,2415,897,2515,1068
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,2694,920,2741,1019
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,2772,910,2840,1025
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_toboggan_penguin,2746,955,2795,994
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,researcher,2899,904,2947,974
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,3672,928,3709,1009
Screenshot from R0010037_st.MP4 - 8.jpg,3840,1920,adult_standing_penguin,3700,923,3744,1008
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,researcher,2204,101,3372,1870
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,563,963,591,1014
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,633,979,677,1019
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,737,987,771,1004
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1552,1024,1630,1112
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1800,1004,1820,1044
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1919,1005,1940,1039
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,juvenile_penguin,1909,1008,1927,1035
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1932,999,1947,1032
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,3635,923,3663,982
Screenshot from R0010048_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,3638,936,3702,1066
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,researcher,169,470,931,1564
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,researcher,1140,974,1169,1013
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,1726,1001,1741,1043
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,1886,997,1908,1038
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2023,1001,2058,1020
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2145,993,2170,1044
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2175,989,2207,1037
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2255,982,2284,1033
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2373,1014,2437,1050
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2471,1008,2520,1035
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2691,997,2740,1022
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2532,989,2562,1010
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2321,1006,2363,1020
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2771,961,2789,998
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2830,968,2860,988
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,researcher,3140,944,3155,976
Screenshot from R0010021_st.MP4 - 4.jpg,3840,1920,researcher,3162,939,3181,981
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,researcher,77,649,622,1632
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,researcher,559,933,597,1015
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,adult_standing_penguin,2353,969,2372,1010
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,adult_standing_penguin,2405,973,2425,1013
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,adult_standing_penguin,2482,966,2498,1001
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,adult_toboggan_penguin,2636,977,2655,992
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,adult_toboggan_penguin,2657,979,2679,995
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,adult_toboggan_penguin,2733,978,2752,992
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,adult_toboggan_penguin,3255,982,3279,1001
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,researcher,3520,946,3559,1039
Screenshot from R0010025_st.MP4 - 2.jpg,3840,1920,researcher,3569,924,3603,1036
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,researcher,1,378,430,1799
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,researcher,3314,320,3840,1672
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,1759,985,1781,1018
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,1828,1021,1894,1051
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,1995,1015,2057,1148
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,1859,979,1880,1023
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,1873,979,1894,1025
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,juvenile_penguin,2031,1000,2046,1032
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,juvenile_penguin,2047,991,2070,1029
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2090,988,2118,1032
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2104,1001,2135,1017
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2170,975,2192,1011
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2269,981,2283,1016
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2298,972,2319,1009
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_standing_penguin,2497,994,2523,1046
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2538,997,2579,1014
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2600,996,2645,1016
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2733,987,2774,1007
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2819,1009,2874,1033
Screenshot from R0010047_st.MP4 - 4.jpg,3840,1920,adult_toboggan_penguin,2927,994,2964,1012
R0010003_st_Moment(8).jpg,3840,1920,researcher,3585,956,3625,1006
R0010003_st_Moment(8).jpg,3840,1920,researcher,3654,922,3693,1002
R0010003_st_Moment(8).jpg,3840,1920,researcher,3698,915,3729,1004
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,2218,967,2256,1058
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,2164,971,2187,1013
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,2140,969,2164,1017
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1873,985,1941,1065
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1593,1009,1667,1140
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1558,984,1625,1120
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1444,989,1529,1149
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1301,976,1348,1067
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1233,988,1302,1103
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1206,963,1235,1013
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1163,972,1203,1062
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,1139,978,1168,1043
R0010003_st_Moment(8).jpg,3840,1920,adult_standing_penguin,854,963,881,1009
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,researcher,89,608,574,1592
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1657,974,1675,1003
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1705,974,1725,1011
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,1941,980,1964,993
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,1966,980,1986,993
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,2032,977,2062,992
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,1864,966,1882,995
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2137,965,2152,996
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2182,964,2195,994
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2207,972,2222,990
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_toboggan_penguin,2231,982,2259,993
Screenshot from R0010025_st.MP4 - 1.jpg,3840,1920,adult_standing_penguin,2352,970,2364,998
